"super_opeid","name","region","state","fips","cz","czname","cfips","county","zip","tier","tier_name","type","iclevel","public","barrons","exp_instr_pc_2000","exp_instr_pc_2013","multi","hbcu","flagship","ipeds_enrollment_2013","ipeds_enrollment_2000","sticker_price_2013","sticker_price_2000","grad_rate_150_p_2013","grad_rate_150_p_2002","avgfacsal_2013","avgfacsal_2001","sat_avg_2013","sat_avg_2001","scorecard_netprice_2013","scorecard_rej_rate_2013","scorecard_median_earnings_2011","endowment_pc_2000","exp_instr_2012","exp_instr_2000","asian_or_pacific_share_fall_2000","black_share_fall_2000","hisp_share_fall_2000","alien_share_fall_2000","pct_arthuman_2000","pct_business_2000","pct_health_2000","pct_multidisci_2000","pct_publicsocial_2000","pct_stem_2000","pct_socialscience_2000","pct_tradepersonal_2000"
30955,"ASA Institute Of Business & Computer Technology",1,"NY",36,19400,"New York",36047,"Kings",11201,11,"Two-year for-profit",3,2,0,999,1961.1664,3643.3179,0,0,0,4711,1432,12298,NA,0.316260566882148,0.592128801431127,4378,NA,NA,NA,22011,NA,26400,NA,12291059,1417345,0.11801676,0.081703909,0.073324025,0.071229048,0,6.6037736,11.425576,0,0,81.97065,0,0
3537,"Abilene Christian University",3,"TX",48,32501,"Abilene",48441,"Taylor",79699,6,"Selective private",2,1,0,3,4572.1567,7046.2036,0,0,0,3727,4739,29450,10910,0.565610859728507,0.544543429844098,5508,48039.7587719298,1075,1100,20836,0.51059997,40200,NA,30223039,20684050,0.007326873,0.05766958,0.05672418,0.039943274,10.785619,22.50333,5.0599203,9.7203732,8.7882824,11.318242,31.691078,0.13315579
1541,"Abraham Baldwin Agricultural College",3,"GA",13,8503,"Valdosta",13277,"Tift",31793,7,"Nonselective four-year public",1,1,1,999,3533.4463,3301.0461,0,0,0,3394,2630,3394,1664,NA,0.227142857142857,4752,43470.0729166667,925,NA,7887,0.29100001,31900,1594.2852,9604920,9627084,0.0049429657,0.15703422,0.016730038,0.013688213,0,4.1002278,12.072893,47.152618,6.3781323,29.612757,0,0.68337131
7531,"Academy Of Art University",4,"CA",6,37800,"San Francisco",6075,"San Francisco",94105,10,"Four-year for-profit",3,1,0,999,2569.2778,5039.5825,0,0,0,10508,5995,19740,15090,0.33,0.322429906542056,7062,50651.3723404255,NA,NA,28224,NA,36100,NA,87856929,17809356,0.15640348,0.023989422,0.20589346,0.27181715,96.091957,0,0,0,0,0,3.908046,0
1345,"Adams State University",4,"CO",8,34805,"Alamosa",8003,"Alamosa",81101,5,"Selective public",1,1,1,4,1036.9449,5938.9795,0,0,0,2284,8188,8014,2186,0.261176470588235,0.323325635103926,5986,44087.6,984,NA,14705,0.47400001,33200,1026.6212,18314567,8925393,0.0125,0.035096154,0.27548078,0.0024038462,10.85044,24.046921,0,33.431084,0,13.489737,18.181818,0
2666,"Adelphi University",1,"NY",36,19400,"New York",36059,"Nassau",11530,6,"Selective private",2,1,0,4,6283.9482,10505.104,0,0,0,5040,5908,32340,15690,0.625141562853907,0.487341772151899,11315,55523.0974358974,1115,1065,20512,0.3186,50600,NA,78979322,30597666,0.029686997,0.1226202,0.067118429,0.040980961,9.0090094,28.078077,13.963964,3.6036036,8.5585585,6.0060062,30.780781,0
2860,"Adirondack Community College - SUNY Office Of Community Colleges",1,"NY",36,18600,"Albany",36113,"Warren",12804,9,"Two-year (public and private not-for-profit)",1,2,1,999,2475.7666,3460.824,0,0,0,4230,3151,4302,2503,0.192740926157697,0.331641285956007,6390,47857.8210526316,NA,NA,2810,NA,32300,NA,13593025,8229181,0.0066645509,0.0082513485,0.0092034275,0.0028562362,0,19.017094,12.606837,50,7.4786325,8.5470085,2.1367521,0.21367522
2234,"Adrian College",2,"MI",26,11500,"Jackson",26091,"Lenawee",49221,6,"Selective private",2,1,0,4,5017.7095,6377.8945,0,0,0,1646,1081,32660,14250,0.544513457556936,0.456375838926175,7453,40353.3636363636,990,NA,15774,0.43720001,36500,NA,10441712,4995231,0.0037002775,0.067530066,0.017576318,0.019426458,19.631903,28.834356,0.61349696,12.269938,5.5214725,16.564417,16.564417,0
11484,"Advanced Institute Of Hair Design",2,"WI",55,24100,"Milwaukee",55079,"Milwaukee",53228,11,"Two-year for-profit",3,2,0,999,1695.1045,2502.1504,0,0,0,355,111,NA,NA,0.750412063070492,0.821475625823452,NA,NA,NA,NA,10707.964,NA,22000,NA,307487.022535211,112103.5,0.0090909088,0.071753249,0.036201298,0,0,0,0,0,0,0,0,100
31275,"Advanced Technology Institute",3,"VA",51,2000,"Virginia Beach",51810,"Virginia Beach City",23462,11,"Two-year for-profit",3,2,0,999,3841.7444,8173.1704,0,0,0,824,273,13255,6942,0.68141592920354,NA,3814,NA,NA,NA,18350,0.096600004,35300,NA,6635811,1168395,0.043956045,0.26373628,0.021978023,0,0,0,0,0,0,15.163935,0,84.836067
